<video_id>,<frame_id>,<movement_id>,<vehicle_class_id>
cam_10,4,2,car
cam_10,14,2,car
cam_10,25,2,car
cam_10,35,2,car
cam_10,50,2,car
cam_10,57,2,car
cam_10,68,2,car
cam_10,76,2,car
cam_10,91,2,car
cam_10,100,2,car
cam_10,122,1,car
cam_10,122,2,car
cam_10,143,2,car
cam_10,158,2,car
cam_10,161,2,car
cam_10,167,2,car
cam_10,179,2,car
cam_10,187,2,car
cam_10,190,2,truck
cam_10,198,2,car
cam_10,209,2,car
cam_10,221,2,truck
cam_10,223,2,car
cam_10,241,2,car
cam_10,242,2,car
cam_10,285,2,truck
cam_10,306,2,car
cam_10,320,2,car
cam_10,369,2,car
cam_10,489,2,car
cam_10,514,2,car
cam_10,531,2,car
cam_10,1030,1,car
cam_10,1110,2,car
cam_10,1132,2,car
cam_10,1144,2,car
cam_10,1161,2,car
cam_10,1171,2,car
cam_10,1188,2,car
cam_10,1191,2,car
cam_10,1209,2,car
cam_10,1209,2,car
cam_10,1217,1,car
cam_10,1242,2,car
cam_10,1251,2,car
cam_10,1254,2,car
cam_10,1266,2,car
cam_10,1270,2,car
cam_10,1282,2,car
cam_10,1285,2,car
cam_10,1301,2,car
cam_10,1308,2,car
cam_10,1332,2,car
cam_10,1344,2,car
cam_10,1349,2,car
cam_10,1367,2,car
cam_10,1411,2,car
cam_10,1418,2,car
cam_10,1426,2,car
cam_10,1438,2,car
cam_10,1445,2,car
cam_10,1469,2,car
cam_10,1480,2,car
cam_10,1534,2,car
cam_10,1541,2,car
cam_10,1574,2,car
cam_10,1631,2,car
cam_10,1712,2,car
