<video_id>,<frame_id>,<movement_id>,<vehicle_class_id>
cam_1_rain,9,1,car
cam_1_rain,30,4,car
cam_1_rain,32,2,truck
cam_1_rain,57,1,car
cam_1_rain,77,1,car
cam_1_rain,78,4,car
cam_1_rain,81,2,car
cam_1_rain,94,2,car
cam_1_rain,118,2,car
cam_1_rain,182,2,car
cam_1_rain,183,1,car
cam_1_rain,203,1,car
cam_1_rain,245,1,car
cam_1_rain,286,1,car
cam_1_rain,343,3,truck
cam_1_rain,311,1,car
cam_1_rain,325,1,car
cam_1_rain,348,1,car
cam_1_rain,355,1,car
cam_1_rain,377,4,car
cam_1_rain,398,1,car
cam_1_rain,411,1,car
cam_1_rain,423,1,car
cam_1_rain,428,1,car
cam_1_rain,454,2,car
cam_1_rain,470,2,car
cam_1_rain,475,1,car
cam_1_rain,481,1,car
cam_1_rain,494,4,car
cam_1_rain,516,2,truck
cam_1_rain,553,2,truck
cam_1_rain,587,2,car
cam_1_rain,611,3,car
cam_1_rain,636,1,car
cam_1_rain,714,1,car
cam_1_rain,770,1,car
cam_1_rain,794,1,car
cam_1_rain,894,1,car
cam_1_rain,944,2,car
cam_1_rain,950,1,truck
cam_1_rain,954,2,car
cam_1_rain,968,1,car
cam_1_rain,986,1,car
cam_1_rain,1037,1,truck
cam_1_rain,1056,4,car
cam_1_rain,1077,1,car
cam_1_rain,1079,2,car
cam_1_rain,1103,1,car
cam_1_rain,1172,2,car
cam_1_rain,1177,1,car
cam_1_rain,1212,2,car
cam_1_rain,1216,1,car
cam_1_rain,1221,2,car
cam_1_rain,1230,1,truck
cam_1_rain,1248,1,truck
cam_1_rain,1264,1,car
cam_1_rain,1279,1,car
cam_1_rain,1299,2,truck
cam_1_rain,1316,2,car
cam_1_rain,1351,1,car
cam_1_rain,1356,1,car
cam_1_rain,1366,2,car
cam_1_rain,1380,2,car
cam_1_rain,1393,2,car
cam_1_rain,1411,1,car
cam_1_rain,1453,2,truck
cam_1_rain,1489,3,car
cam_1_rain,1495,1,car
cam_1_rain,1512,1,car
cam_1_rain,1512,4,car
cam_1_rain,1517,3,car
cam_1_rain,1533,1,car
cam_1_rain,1553,1,car
cam_1_rain,1577,2,truck
cam_1_rain,1605,2,truck
cam_1_rain,1625,2,truck
cam_1_rain,1708,4,car
cam_1_rain,1744,1,car
cam_1_rain,1794,1,car
cam_1_rain,1798,1,car
cam_1_rain,1812,1,car
cam_1_rain,1818,3,car
cam_1_rain,1833,1,car
cam_1_rain,1898,1,car
cam_1_rain,2014,1,car
cam_1_rain,2018,4,car
cam_1_rain,2034,1,car
cam_1_rain,2048,1,car
cam_1_rain,2066,2,car
cam_1_rain,2066,1,car
cam_1_rain,2099,1,car
cam_1_rain,2111,1,car
cam_1_rain,2120,1,car
cam_1_rain,2176,2,truck
cam_1_rain,2193,2,car
cam_1_rain,2221,2,car
cam_1_rain,2252,2,car
cam_1_rain,2253,4,car
cam_1_rain,2264,2,car
cam_1_rain,2272,4,car
cam_1_rain,2277,1,car
cam_1_rain,2305,3,car
cam_1_rain,2310,1,car
cam_1_rain,2377,2,car
cam_1_rain,2388,4,car
cam_1_rain,2409,1,truck
cam_1_rain,2428,2,car
cam_1_rain,2467,1,car
cam_1_rain,2479,4,car
cam_1_rain,2494,2,car
cam_1_rain,2497,4,car
cam_1_rain,2527,1,car
cam_1_rain,2537,2,car
cam_1_rain,2546,1,truck
cam_1_rain,2554,2,car
cam_1_rain,2554,4,car
cam_1_rain,2563,1,truck
cam_1_rain,2571,1,car
cam_1_rain,2574,2,car
cam_1_rain,2579,4,car
cam_1_rain,2584,1,car
cam_1_rain,2600,1,car
cam_1_rain,2606,4,car
cam_1_rain,2619,1,car
cam_1_rain,2644,1,car
cam_1_rain,2665,1,car
cam_1_rain,2684,2,car
cam_1_rain,2700,1,car
cam_1_rain,2705,1,truck
cam_1_rain,2719,1,car
cam_1_rain,2740,2,car
cam_1_rain,2751,3,car
cam_1_rain,2757,2,car
cam_1_rain,2758,1,car
cam_1_rain,2807,1,car
cam_1_rain,2863,1,car
cam_1_rain,2868,1,car
cam_1_rain,2886,1,car
cam_1_rain,2924,1,car
cam_1_rain,2953,1,car
cam_1_rain,2686,1,car
cam_1_rain,64,2,car
cam_1_rain,296,2,truck
cam_1_rain,432,2,car
cam_1_rain,656,2,truck
cam_1_rain,799,2,car
cam_1_rain,1190,2,car
cam_1_rain,1250,2,car
cam_1_rain,1322,2,car
cam_1_rain,1427,2,car
cam_1_rain,1443,2,car
cam_1_rain,1631,2,car
cam_1_rain,1691,2,car
cam_1_rain,1722,2,truck
cam_1_rain,1934,2,truck
cam_1_rain,2061,2,truck
cam_1_rain,2454,2,truck
cam_1_rain,2636,2,truck
cam_1_rain,2654,2,truck
cam_1_rain,2707,2,truck
cam_1_rain,2935,2,truck
cam_1_rain,1484,4,car
cam_1_rain,1798,4,car
