<video_id>,<frame_id>,<movement_id>,<vehicle_class_id>
cam_5,32,2,car
cam_5,35,3,car
cam_5,42,3,car
cam_5,45,3,car
cam_5,45,2,car
cam_5,62,3,car
cam_5,68,3,car
cam_5,73,3,car
cam_5,73,2,car
cam_5,80,3,car
cam_5,91,2,car
cam_5,97,1,car
cam_5,104,3,car
cam_5,107,3,car
cam_5,115,2,car
cam_5,121,3,car
cam_5,126,3,car
cam_5,138,10,car
cam_5,142,3,car
cam_5,184,4,car
cam_5,205,11,car
cam_5,217,12,car
cam_5,229,11,car
cam_5,232,11,car
cam_5,235,4,car
cam_5,244,11,car
cam_5,247,11,car
cam_5,260,11,car
cam_5,265,11,car
cam_5,275,4,car
cam_5,276,11,car
cam_5,280,11,car
cam_5,287,11,car
cam_5,294,11,car
cam_5,304,11,car
cam_5,309,11,car
cam_5,310,4,car
cam_5,317,11,car
cam_5,324,11,car
cam_5,329,11,car
cam_5,337,5,car
cam_5,341,5,car
cam_5,347,11,car
cam_5,348,11,car
cam_5,357,5,car
cam_5,359,5,truck
cam_5,367,11,car
cam_5,374,5,car
cam_5,383,11,car
cam_5,398,5,car
cam_5,410,11,car
cam_5,413,11,truck
cam_5,416,5,car
cam_5,423,5,truck
cam_5,423,11,car
cam_5,429,5,car
cam_5,431,11,car
cam_5,439,11,car
cam_5,443,5,car
cam_5,449,10,car
cam_5,450,11,car
cam_5,453,5,car
cam_5,455,11,car
cam_5,464,5,car
cam_5,466,11,car
cam_5,470,5,car
cam_5,472,4,car
cam_5,475,11,car
cam_5,476,11,car
cam_5,487,11,car
cam_5,487,5,car
cam_5,489,5,car
cam_5,494,11,car
cam_5,500,5,car
cam_5,506,11,car
cam_5,511,11,car
cam_5,511,5,car
cam_5,526,5,car
cam_5,535,11,car
cam_5,542,5,car
cam_5,542,5,car
cam_5,550,11,car
cam_5,554,5,car
cam_5,561,4,car
cam_5,567,5,car
cam_5,568,5,car
cam_5,576,11,car
cam_5,585,5,car
cam_5,586,5,car
cam_5,590,7,car
cam_5,592,11,car
cam_5,601,4,car
cam_5,602,5,car
cam_5,613,5,car
cam_5,620,5,car
cam_5,632,5,car
cam_5,638,5,car
cam_5,648,5,car
cam_5,649,5,car
cam_5,667,7,car
cam_5,667,5,car
cam_5,668,5,car
cam_5,680,5,car
cam_5,682,5,car
cam_5,706,5,car
cam_5,715,5,car
cam_5,715,6,car
cam_5,727,5,car
cam_5,731,6,car
cam_5,731,5,truck
cam_5,744,4,car
