<video_id>,<frame_id>,Unnamed: 2,Unnamed: 3
cam_8,18,2,car
cam_8,29,1,car
cam_8,63,2,car
cam_8,74,1,car
cam_8,106,1,car
cam_8,151,2,car
cam_8,230,2,car
cam_8,264,6,car
cam_8,282,5,car
cam_8,328,4,car
cam_8,387,5,car
cam_8,412,4,car
cam_8,447,1,car
cam_8,467,5,truch
cam_8,473,6,car
cam_8,516,1,car
cam_8,524,5,car
cam_8,540,1,car
cam_8,561,1,car
cam_8,579,6,car
cam_8,621,4,car
cam_8,669,5,car
cam_8,669,6,car
cam_8,695,3,car
cam_8,709,2,car
cam_8,716,1,car
cam_8,721,3,car
cam_8,735,5,car
cam_8,769,4,car
cam_8,777,2,car
cam_8,787,1,car
cam_8,802,6,car
cam_8,811,5,car
cam_8,842,4,car
cam_8,858,1,car
cam_8,887,6,car
cam_8,898,6,car
cam_8,932,4,car
cam_8,953,2,car
cam_8,963,1,car
cam_8,975,6,car
cam_8,1024,4,car
cam_8,1040,1,car
cam_8,1054,5,car
cam_8,1086,4,car
cam_8,123,6,car
cam_8,1160,5,car
cam_8,1185,4,car
cam_8,1210,1,car
cam_8,1234,6,car
cam_8,1243,1,car
cam_8,1252,5,car
cam_8,1293,5,car
cam_8,1298,6,car
cam_8,1325,4,car
cam_8,1345,1,car
cam_8,1346,5,car
cam_8,1357,1,car
cam_8,1379,6,car
cam_8,1406,4,car
cam_8,1421,5,car
cam_8,1425,1,car
cam_8,1439,2,car
cam_8,1471,5,car
cam_8,1491,4,car
cam_8,1500,5,car
cam_8,1506,1,car
cam_8,1511,1,car
cam_8,1547,6,truch
cam_8,1564,4,car
cam_8,1576,6,car
cam_8,1601,2,car
cam_8,1638,3,car
cam_8,1638,4,car
cam_8,1668,6,car
cam_8,1698,6,car
cam_8,1711,2,car
cam_8,1711,3,car
cam_8,1743,5,car
cam_8,1758,4,car
cam_8,1766,5,car
cam_8,1782,2,car
cam_8,1810,5,car
cam_8,1847,4,car
cam_8,1864,2,car
cam_8,1864,5,car
cam_8,1889,6,car
cam_8,1921,4,car
cam_8,1943,1,car
cam_8,1954,1,truch
cam_8,1957,6,car
cam_8,1975,4,car
cam_8,1979,5,car
cam_8,2001,1,car
cam_8,2009,1,car
cam_8,2019,1,car
cam_8,2021,6,car
cam_8,2040,5,car
cam_8,2063,4,car
cam_8,2076,1,car
cam_8,2096,2,car
cam_8,2103,1,car
cam_8,2115,6,car
cam_8,2132,3,car
cam_8,2153,4,car
cam_8,2171,1,car
cam_8,2182,2,car
cam_8,2206,5,car
cam_8,2214,6,car
cam_8,2249,3,car
cam_8,2249,4,car
cam_8,2282,2,car
cam_8,2301,5,car
cam_8,2309,1,car
cam_8,2325,6,car
cam_8,2353,3,car
cam_8,2359,4,car
cam_8,2363,5,car
cam_8,2380,1,car
cam_8,2385,2,car
cam_8,2437,6,car
cam_8,2439,5,car
cam_8,2464,4,car
cam_8,2476,2,car
cam_8,2521,6,car
cam_8,2526,1,truch
cam_8,2528,2,car
cam_8,2567,2,car
cam_8,2568,1,car
cam_8,2601,5,car
cam_8,2621,4,car
cam_8,2638,2,car
cam_8,2648,1,car
cam_8,2667,6,car
cam_8,2674,5,car
cam_8,2711,4,car
cam_8,2744,2,car
cam_8,2766,5,car
cam_8,2769,6,car
cam_8,2793,4,car
cam_8,2818,1,car
cam_8,2818,1,car
cam_8,2824,5,car
cam_8,2837,6,car
cam_8,2860,5,car
cam_8,2889,4,car
cam_8,2915,1,car
cam_8,2918,1,car
cam_8,2934,6,car
cam_8,2942,6,car
cam_8,2963,3,car
cam_8,2997,4,car
