<video_id>,<frame_id>,<movement_id>,<vehicle_class_id>
cam_6,23,1,car
cam_6,62,1,car
cam_6,90,9,car
cam_6,106,8,car
cam_6,109,9,car
cam_6,119,8,car
cam_6,129,9,car
cam_6,138,8,car
cam_6,163,8,car
cam_6,166,9,car
cam_6,186,8,car
cam_6,202,1,car
cam_6,202,8,car
cam_6,228,8,car
cam_6,238,7,car
cam_6,276,2,car
cam_6,280,8,car
cam_6,297,2,car
cam_6,301,8,car
cam_6,303,1,car
cam_6,320,8,car
cam_6,331,1,car
cam_6,332,7,car
cam_6,358,8,car
cam_6,359,2,car
cam_6,411,8,car
cam_6,447,8,car
cam_6,525,8,car
cam_6,543,9,car
cam_6,590,8,car
cam_6,655,2,car
cam_6,684,9,car
cam_6,779,6,car
cam_6,783,12,car
cam_6,786,1,car
cam_6,809,6,car
cam_6,810,12,car
cam_6,831,12,car
cam_6,832,6,car
cam_6,852,12,car
cam_6,853,6,car
cam_6,864,12,car
cam_6,877,6,car
cam_6,889,12,car
cam_6,895,6,car
cam_6,918,12,car
cam_6,996,11,car
cam_6,1003,11,car
cam_6,1014,11,car
cam_6,1015,5,car
cam_6,1020,11,car
cam_6,1025,5,car
cam_6,1032,11,car
cam_6,1034,11,car
cam_6,1042,5,car
cam_6,1048,5,car
cam_6,1056,11,car
cam_6,1058,11,car
cam_6,1059,5,car
cam_6,1067,11,car
cam_6,1070,5,car
cam_6,1077,5,car
cam_6,1079,11,car
cam_6,1091,10,car
cam_6,1092,4,car
cam_6,1095,5,car
cam_6,1102,11,car
cam_6,1107,5,car
cam_6,1114,11,car
cam_6,1116,5,car
cam_6,1127,5,car
cam_6,1129,5,car
cam_6,1139,5,car
cam_6,1145,5,car
cam_6,1159,11,car
cam_6,1166,5,car
cam_6,1169,5,car
cam_6,1184,11,car
cam_6,1196,4,car
cam_6,1201,5,car
cam_6,1208,5,car
cam_6,1249,5,car
cam_6,1290,5,car
cam_6,1297,4,car
cam_6,1351,4,car
cam_6,1358,5,car
cam_6,1374,5,car
cam_6,1375,11,car
cam_6,1403,11,car
cam_6,1488,9,car
cam_6,1498,3,car
cam_6,1521,9,car
cam_6,1538,10,car
cam_6,1613,8,car
cam_6,1636,8,car
cam_6,1638,1,car
cam_6,1651,2,car
cam_6,1657,8,car
cam_6,1665,1,car
cam_6,1683,8,car
cam_6,1689,1,car
cam_6,1695,8,car
cam_6,1703,1,car
cam_6,1709,8,car
cam_6,1713,7,car
cam_6,1724,8,car
cam_6,1731,1,car
cam_6,1740,2,car
cam_6,1752,8,car
cam_6,1756,1,car
cam_6,1757,2,car
cam_6,1773,8,car
cam_6,1800,2,car
cam_6,1823,1,car
cam_6,1855,1,car
cam_6,1879,1,truck
cam_6,1938,12,car
cam_6,1940,6,car
cam_6,1958,6,car
cam_6,1959,1,car
cam_6,1962,12,car
cam_6,1979,6,car
cam_6,1999,12,car
cam_6,2000,6,car
cam_6,2020,12,car
cam_6,2038,12,car
cam_6,2055,12,car
cam_6,2101,12,car
cam_6,2113,12,car
cam_6,2116,11,car
cam_6,2123,11,car
cam_6,2133,12,car
cam_6,2141,11,car
cam_6,2151,10,car
cam_6,2154,12,car
cam_6,2170,11,car
cam_6,2197,12,car
cam_6,2211,10,car
cam_6,2230,5,car
cam_6,2237,5,car
cam_6,2239,11,car
cam_6,2259,5,car
cam_6,2265,5,car
cam_6,2273,5,car
cam_6,2275,7,car
cam_6,2281,5,car
cam_6,2296,5,car
cam_6,2303,5,car
cam_6,2316,5,car
cam_6,2322,5,car
cam_6,2351,5,car
cam_6,2368,5,truck
cam_6,2372,5,car
cam_6,2386,5,car
cam_6,2400,5,car
cam_6,2401,5,car
cam_6,2417,5,car
cam_6,2427,4,car
cam_6,2428,11,car
cam_6,2433,5,car
cam_6,2443,5,car
cam_6,2465,5,truck
cam_6,2473,5,car
cam_6,2497,5,car
cam_6,2507,5,car
cam_6,2534,5,car
cam_6,2537,11,car
cam_6,2555,11,car
cam_6,2556,5,car
cam_6,2584,5,truck
cam_6,2653,10,car
cam_6,2700,9,car
cam_6,2719,8,car
cam_6,2727,7,car
cam_6,2730,8,car
cam_6,2771,7,car
cam_6,2782,8,car
cam_6,2797,7,car
cam_6,2817,2,car
cam_6,2827,8,car
cam_6,2831,1,car
cam_6,2841,2,car
cam_6,2854,7,car
cam_6,2867,7,car
cam_6,2874,2,car
cam_6,2883,1,car
cam_6,2902,8,car
