<video_id>,<frame_id>,<movement_id>,<vehicle_class_id>
cam_3,1672,1,car
cam_3,1677,1,car
cam_3,1682,2,car
cam_3,1688,1,car
cam_3,1692,2,car
cam_3,1693,3,car
cam_3,1694,1,car
cam_3,1724,1,car
cam_3,1730,3,car
cam_3,1732,2,car
cam_3,1739,2,car
cam_3,1755,2,car
cam_3,1766,2,car
cam_3,1813,4,car
cam_3,1814,3,car
cam_3,1839,4,car
cam_3,1856,4,car
cam_3,1894,4,car
cam_3,1917,4,car
cam_3,1997,2,car
cam_3,2015,1,car
cam_3,2021,2,car
cam_3,2032,1,car
cam_3,2062,1,car
cam_3,2068,3,car
cam_3,2076,2,car
cam_3,2093,2,car
cam_3,2104,3,car
cam_3,2127,1,car
cam_3,2135,4,car
cam_3,2141,1,car
cam_3,2146,1,truck
cam_3,2151,1,car
cam_3,2161,1,car
cam_3,2178,1,car
cam_3,2186,1,car
cam_3,2188,4,car
cam_3,2202,1,car
cam_3,2239,2,car
cam_3,2244,1,car
cam_3,2267,4,car
cam_3,2342,2,car
cam_3,2355,2,car
cam_3,2370,2,truck
cam_3,2395,2,car
cam_3,2405,2,car
cam_3,2408,2,car
cam_3,2424,2,car
cam_3,2440,2,car
cam_3,2448,2,car
cam_3,2467,2,car
cam_3,2477,2,car
cam_3,2479,2,car
cam_3,2491,2,car
cam_3,2520,2,car
cam_3,2546,2,truck
cam_3,2589,2,car
cam_3,2592,1,truck
cam_3,2600,1,car
cam_3,2615,2,car
cam_3,2615,1,car
cam_3,2633,3,car
cam_3,2646,2,car
cam_3,2648,1,car
cam_3,2650,1,car
cam_3,2670,3,car
cam_3,2672,4,car
cam_3,2676,1,car
cam_3,2690,2,truck
cam_3,2699,1,car
cam_3,2719,1,car
cam_3,2734,1,truck
cam_3,2748,2,car
cam_3,2786,2,car
cam_3,2815,3,car
cam_3,2820,4,car
cam_3,2825,1,car
cam_3,2858,1,truck
cam_3,2862,2,car
cam_3,2865,1,car
cam_3,2881,1,car
cam_3,2899,1,car
cam_3,2904,1,car
cam_3,2908,2,car
cam_3,2911,2,car
cam_3,2911,1,car
cam_3,2912,4,car
cam_3,2953,1,car
cam_3,2959,2,car
cam_3,2961,2,car
cam_3,2981,2,car
cam_3,189,1,car
cam_3,203,1,car
cam_3,228,1,car
cam_3,263,1,car
cam_3,281,1,car
cam_3,355,1,car
cam_3,381,1,car
cam_3,482,1,car
cam_3,519,1,car
cam_3,560,1,car
cam_3,576,1,car
cam_3,611,1,car
cam_3,662,1,car
cam_3,693,1,car
cam_3,711,1,car
cam_3,734,1,car
cam_3,748,1,car
cam_3,749,1,car
cam_3,777,1,car
cam_3,800,1,car
cam_3,812,1,car
cam_3,816,1,car
cam_3,836,1,truck
cam_3,901,1,car
cam_3,954,1,car
cam_3,962,1,car
cam_3,983,1,car
cam_3,988,1,truck
cam_3,1006,1,truck
cam_3,1016,1,car
cam_3,1023,1,car
cam_3,1037,1,car
cam_3,1055,1,car
cam_3,1110,1,truck
cam_3,1190,1,car
cam_3,1287,1,car
cam_3,1436,1,car
cam_3,1450,1,car
cam_3,1470,1,car
cam_3,1485,1,car
cam_3,1492,1,car
cam_3,1519,1,car
cam_3,1613,1,truck
cam_3,1659,1,car
cam_3,1713,1,car
cam_3,2636,1,car
cam_3,59,2,truck
cam_3,65,2,car
cam_3,104,2,car
cam_3,187,2,car
cam_3,240,2,car
cam_3,301,2,car
cam_3,334,2,car
cam_3,352,2,truck
cam_3,371,2,truck
cam_3,521,2,car
cam_3,549,2,car
cam_3,592,2,car
cam_3,668,2,truck
cam_3,674,2,car
cam_3,700,2,car
cam_3,715,2,car
cam_3,736,2,car
cam_3,769,2,car
cam_3,791,2,car
cam_3,833,2,truck
cam_3,850,2,car
cam_3,863,2,car
cam_3,1011,2,car
cam_3,1037,2,car
cam_3,1072,2,car
cam_3,1097,2,car
cam_3,1131,2,car
cam_3,1171,2,car
cam_3,1258,2,car
cam_3,1296,2,car
cam_3,1316,2,car
cam_3,1324,2,car
cam_3,1357,2,car
cam_3,1360,2,car
cam_3,1393,2,car
cam_3,1434,2,car
cam_3,1489,2,car
cam_3,1552,2,truck
cam_3,1557,2,car
cam_3,1643,2,truck
cam_3,1671,2,truck
cam_3,130,3,car
cam_3,150,3,car
cam_3,274,3,car
cam_3,890,3,car
cam_3,1155,3,car
cam_3,1195,3,car
cam_3,1217,3,car
cam_3,1267,3,car
cam_3,156,4,car
cam_3,273,4,car
cam_3,304,4,car
cam_3,457,4,car
cam_3,626,4,car
cam_3,755,4,car
cam_3,855,4,car
cam_3,1471,4,car
