<video_id>,<frame_id>,<movement_id>,<vehicle_class_id>
cam_4,46,11,car
cam_4,52,11,car
cam_4,64,10,car
cam_4,70,11,car
cam_4,77,11,car
cam_4,89,11,car
cam_4,102,11,car
cam_4,119,11,car
cam_4,121,11,truck
cam_4,144,5,car
cam_4,163,11,car
cam_4,167,5,car
cam_4,182,11,car
cam_4,187,11,car
cam_4,194,5,car
cam_4,202,5,car
cam_4,211,11,car
cam_4,217,11,car
cam_4,225,5,car
cam_4,239,11,car
cam_4,244,11,car
cam_4,246,5,car
cam_4,262,5,car
cam_4,267,11,car
cam_4,283,5,car
cam_4,285,5,car
cam_4,285,5,truck
cam_4,303,5,car
cam_4,319,5,car
cam_4,354,5,car
cam_4,371,11,truck
cam_4,391,5,truck
cam_4,416,5,car
cam_4,442,5,truck
cam_4,454,5,car
cam_4,466,5,car
cam_4,488,5,car
cam_4,537,1,car
cam_4,721,5,car
cam_4,730,5,car
cam_4,768,6,car
cam_4,810,6,car
cam_4,852,6,car
cam_4,894,4,car
cam_4,898,6,car
cam_4,928,6,car
cam_4,1056,1,car
cam_4,1059,8,car
cam_4,1072,2,car
cam_4,1256,11,car
cam_4,1267,11,car
cam_4,1287,11,car
cam_4,1311,12,car
cam_4,1341,11,truck
cam_4,1389,11,car
cam_4,1397,11,car
cam_4,1417,11,car
cam_4,1435,11,car
cam_4,1454,11,truck
cam_4,1487,11,car
cam_4,1471,11,car
cam_4,1523,11,car
cam_4,1526,11,car
cam_4,1528,1,car
cam_4,1550,11,car
cam_4,1571,11,car
cam_4,1590,11,car
cam_4,1608,11,car
cam_4,1616,11,car
cam_4,1633,11,car
cam_4,1637,11,car
cam_4,1638,1,car
cam_4,1685,5,car
cam_4,1687,5,car
cam_4,1694,11,car
cam_4,1706,1,car
cam_4,1711,11,car
cam_4,1727,5,car
cam_4,1743,5,car
cam_4,1759,5,car
cam_4,1783,5,car
cam_4,1816,5,car
cam_4,1830,5,car
cam_4,1848,5,car
cam_4,1882,1,car
cam_4,1998,11,car
cam_4,2030,5,car
cam_4,2069,5,car
cam_4,2073,5,car
cam_4,2106,5,car
cam_4,2128,5,car
cam_4,2146,5,car
cam_4,2200,6,car
cam_4,2209,5,car
cam_4,2225,5,car
cam_4,2252,6,car
cam_4,2281,5,car
cam_4,2290,6,car
cam_4,2331,1,car
cam_4,2346,6,car
cam_4,2445,9,car
cam_4,2485,9,car
cam_4,2498,3,car
cam_4,2513,9,car
cam_4,2526,3,car
cam_4,2541,3,car
cam_4,2667,7,car
cam_4,2706,7,car
cam_4,2895,11,car
cam_4,2905,11,car
cam_4,2912,12,car
cam_4,2923,11,car
cam_4,2943,11,car
cam_4,2961,12,car
cam_4,2962,11,car
cam_4,2990,11,car
cam_4,2999,12,car
