cam-17,90,2,0
cam-17,108,2,0
cam-17,135,2,0
cam-17,146,1,0
cam-17,175,2,0
cam-17,237,1,0
cam-17,340,2,0
cam-17,362,2,0
cam-17,395,1,0
cam-17,420,1,0
cam-17,432,2,0
cam-17,457,1,0
cam-17,592,1,0
cam-17,645,2,0
cam-17,716,2,0
cam-17,857,2,0
cam-17,890,1,0
cam-17,1227,2,0
cam-17,1276,2,0
cam-17,1317,1,0
cam-17,1346,2,0
cam-17,1388,1,0
cam-17,1416,2,0
cam-17,1438,2,0
cam-17,1463,2,0
cam-17,1608,2,0
cam-17,1809,1,0
cam-17,1899,2,0
cam-17,1951,2,0
cam-17,2075,2,0
cam-17,2320,1,0
cam-17,2465,1,0
cam-17,2481,2,0
cam-17,2510,2,0
cam-17,2584,2,0
cam-17,2602,2,0
cam-17,2631,2,0
cam-17,2655,2,0
cam-17,2669,1,0
cam-17,2719,2,0
cam-17,2736,2,0
cam-17,2763,2,0
cam-17,2936,2,0
