17,157,8,0
17,174,8,0
17,181,8,0
17,201,8,0
17,202,8,0
17,209,8,0
17,210,8,0
17,226,7,0
17,233,8,0
17,258,2,0
17,263,8,0
17,267,8,0
17,274,8,0
17,280,8,1
17,290,8,0
17,305,8,0
17,312,8,0
17,321,2,0
17,328,8,1
17,330,2,0
17,350,2,0
17,362,2,0
17,398,2,1
17,401,4,0
17,437,2,1
17,438,8,0
17,443,8,0
17,448,2,0
17,476,2,0
17,478,4,0
17,490,2,0
17,493,2,0
17,512,2,0
17,529,2,0
17,536,1,0
17,538,2,0
17,550,2,0
17,558,2,0
17,569,2,0
17,574,2,0
17,580,2,0
17,593,2,0
17,604,2,0
17,625,2,0
17,633,2,0
17,774,2,0
17,790,8,0
17,900,8,0
17,949,8,0
17,968,8,0
17,975,8,0
17,977,8,0
17,987,8,0
17,991,8,0
17,1006,2,0
17,1014,8,0
17,1017,2,0
17,1027,8,0
17,1029,8,0
17,1038,2,0
17,1039,8,0
17,1053,8,0
17,1054,2,0
17,1069,2,1
17,1078,2,0
17,1090,2,0
17,1105,2,0
17,1107,8,0
17,1135,8,0
17,1145,2,0
17,1153,8,0
17,1154,8,0
17,1166,8,1
17,1181,8,0
17,1185,2,1
17,1186,2,0
17,1186,2,0
17,1197,8,0
17,1203,2,0
17,1217,2,0
17,1227,2,0
17,1233,8,1
17,1238,8,0
17,1246,2,0
17,1268,2,0
17,1282,2,0
17,1298,2,0
17,1325,2,0
17,1335,2,0
17,1338,3,1
17,1361,2,0
17,1361,7,0
17,1378,2,1
17,1379,2,0
17,1376,2,0
17,1386,2,0
17,1383,4,0
17,1399,2,0
17,1409,7,0
17,1461,7,0
17,1481,4,0
17,1574,8,0
17,1586,8,0
17,1726,8,0
17,1737,8,0
17,1742,8,0
17,1787,8,0
17,1801,8,1
17,1821,8,1
17,1830,8,1
17,1831,2,0
17,1846,2,0
17,1861,2,0
17,1867,8,0
17,1875,8,0
17,1883,2,0
17,1890,2,0
17,1893,8,0
17,1906,8,0
17,1909,2,1
17,1909,2,0
17,1910,2,0
17,1921,2,0
17,1925,2,0
17,1932,8,0
17,1942,2,0
17,1983,8,0
17,1987,8,0
17,2003,2,0
17,2027,8,0
17,2039,2,0
17,2042,2,0
17,2063,2,0
17,2064,2,0
17,2065,8,0
17,2068,2,0
17,2073,2,0
17,2077,8,0
17,2096,2,0
17,2099,2,0
17,2103,2,0
17,2119,2,0
17,2131,2,0
17,2140,2,0
17,2156,8,0
17,2199,8,0
17,2219,8,0
17,2312,2,0
17,2316,2,0
17,2376,4,0
