<video_id>,<frame_id>,<movement_id>,<vehicle_class_id>
cam_7_dawn,157,8,car
cam_7_dawn,174,8,car
cam_7_dawn,181,8,car
cam_7_dawn,201,8,car
cam_7_dawn,202,8,car
cam_7_dawn,209,8,car
cam_7_dawn,210,8,car
cam_7_dawn,226,7,car
cam_7_dawn,233,8,car
cam_7_dawn,258,2,car
cam_7_dawn,263,8,car
cam_7_dawn,267,8,car
cam_7_dawn,274,8,car
cam_7_dawn,280,8,truck
cam_7_dawn,290,8,car
cam_7_dawn,305,8,car
cam_7_dawn,312,8,car
cam_7_dawn,321,2,car
cam_7_dawn,328,8,truck
cam_7_dawn,330,2,car
cam_7_dawn,350,2,car
cam_7_dawn,362,2,car
cam_7_dawn,398,2,truck
cam_7_dawn,401,4,car
cam_7_dawn,437,2,truck
cam_7_dawn,438,8,car
cam_7_dawn,443,8,car
cam_7_dawn,448,2,car
cam_7_dawn,476,2,car
cam_7_dawn,478,4,car
cam_7_dawn,490,2,car
cam_7_dawn,493,2,car
cam_7_dawn,512,2,car
cam_7_dawn,529,2,car
cam_7_dawn,536,1,car
cam_7_dawn,538,2,car
cam_7_dawn,550,2,car
cam_7_dawn,558,2,car
cam_7_dawn,569,2,car
cam_7_dawn,574,2,car
cam_7_dawn,580,2,car
cam_7_dawn,593,2,car
cam_7_dawn,604,2,car
cam_7_dawn,625,2,car
cam_7_dawn,633,2,car
cam_7_dawn,774,2,car
cam_7_dawn,790,8,car
cam_7_dawn,900,8,car
cam_7_dawn,949,8,car
cam_7_dawn,968,8,car
cam_7_dawn,975,8,car
cam_7_dawn,977,8,car
cam_7_dawn,987,8,car
cam_7_dawn,991,8,car
cam_7_dawn,1006,2,car
cam_7_dawn,1014,8,car
cam_7_dawn,1017,2,car
cam_7_dawn,1027,8,car
cam_7_dawn,1029,8,car
cam_7_dawn,1038,2,car
cam_7_dawn,1039,8,car
cam_7_dawn,1053,8,car
cam_7_dawn,1054,2,car
cam_7_dawn,1069,2,truck
cam_7_dawn,1078,2,car
cam_7_dawn,1090,2,car
cam_7_dawn,1105,2,car
cam_7_dawn,1107,8,car
cam_7_dawn,1135,8,car
cam_7_dawn,1145,2,car
cam_7_dawn,1153,8,car
cam_7_dawn,1154,8,car
cam_7_dawn,1166,8,truck
cam_7_dawn,1181,8,car
cam_7_dawn,1185,2,truck
cam_7_dawn,1186,2,car
cam_7_dawn,1186,2,car
cam_7_dawn,1197,8,car
cam_7_dawn,1203,2,car
cam_7_dawn,1217,2,car
cam_7_dawn,1227,2,car
cam_7_dawn,1233,8,truck
cam_7_dawn,1238,8,car
cam_7_dawn,1246,2,car
cam_7_dawn,1268,2,car
cam_7_dawn,1282,2,car
cam_7_dawn,1298,2,car
cam_7_dawn,1325,2,car
cam_7_dawn,1335,2,car
cam_7_dawn,1338,3,truck
cam_7_dawn,1361,2,car
cam_7_dawn,1361,7,car
cam_7_dawn,1378,2,truck
cam_7_dawn,1379,2,car
cam_7_dawn,1376,2,car
cam_7_dawn,1386,2,car
cam_7_dawn,1383,4,car
cam_7_dawn,1399,2,car
cam_7_dawn,1409,7,car
cam_7_dawn,1461,7,car
cam_7_dawn,1481,4,car
cam_7_dawn,1574,8,car
cam_7_dawn,1586,8,car
cam_7_dawn,1726,8,car
cam_7_dawn,1737,8,car
cam_7_dawn,1742,8,car
cam_7_dawn,1787,8,car
cam_7_dawn,1801,8,truck
cam_7_dawn,1821,8,truck
cam_7_dawn,1830,8,truck
cam_7_dawn,1831,2,car
cam_7_dawn,1846,2,car
cam_7_dawn,1861,2,car
cam_7_dawn,1867,8,car
cam_7_dawn,1875,8,car
cam_7_dawn,1883,2,car
cam_7_dawn,1890,2,car
cam_7_dawn,1893,8,car
cam_7_dawn,1906,8,car
cam_7_dawn,1909,2,truck
cam_7_dawn,1909,2,car
cam_7_dawn,1910,2,car
cam_7_dawn,1921,2,car
cam_7_dawn,1925,2,car
cam_7_dawn,1932,8,car
cam_7_dawn,1942,2,car
cam_7_dawn,1983,8,car
cam_7_dawn,1987,8,car
cam_7_dawn,2003,2,car
cam_7_dawn,2027,8,car
cam_7_dawn,2039,2,car
cam_7_dawn,2042,2,car
cam_7_dawn,2063,2,car
cam_7_dawn,2064,2,car
cam_7_dawn,2065,8,car
cam_7_dawn,2068,2,car
cam_7_dawn,2073,2,car
cam_7_dawn,2077,8,car
cam_7_dawn,2096,2,car
cam_7_dawn,2099,2,car
cam_7_dawn,2103,2,car
cam_7_dawn,2119,2,car
cam_7_dawn,2131,2,car
cam_7_dawn,2140,2,car
cam_7_dawn,2156,8,car
cam_7_dawn,2199,8,car
cam_7_dawn,2219,8,car
cam_7_dawn,2312,2,car
cam_7_dawn,2316,2,car
cam_7_dawn,2376,4,car
